participant,time,motion.clause,motion.verb,path,ground,constr.type
120,1,&um Mr Bean trep(a) [/] trepa del coche &um,trepar,del,coche,motion_path_ground
120,1,&um Mr Bean &um sube el calle &um pero &um us(a) [/] usa solamente un pie,subir,,el calle,motion_ground
120,1,&um Mr Bean corre en el centro comercial &um &um y con un bolso &um,correr,en,el centro comercial,motion_path_ground
120,1,&um Mr Bean corre en su habitación &um con mucho alegre y &um,correr,en,su habitaci√≥n,motion_path_ground
120,1,&um Mr Bean vuelve al habitación &um por la pasilla [*] ,volver,al,habitaci√≥n,motion_path_ground
121,1,&um Mr Bean entre [: entra] [*] el tren,entrar,,el tren,motion_ground
121,1,&um señor Bean corre cerca de la piscina &um para el trampolín,correr,cerca de,la piscina,motion_path_ground
121,1,señor Bean &um escape [: escapa] [*] el coche por la (1)ventana,escapar,,el coche,motion_ground
121,1,&um señor Bean camina en la calle con uno p(ie) [/] pie,caminar,en,la calle,motion_path_ground
121,1,&um señor Bean corre <en el> [//] en la tienda de [//] del centro comercial ,correr,en ,la tienda,motion_path_ground
121,1,&um se√±or Bean entra &um el agua de la piscina &um,entrar,,el agua,motion_ground
121,1,señor Bean &um caminé [: camina] [*] por el túnel ,caminar,por,el t√∫nel,motion_path_ground
121,1,&um señor Bean &um sa(le) [/] sale la habitación ,salir,,la habitaci√≥n,motion_ground
121,1,&um el perro corre cerca de la (1)ovejas,correr,cerca de,la ovejas,motion_path_ground
122,1,&um señor Bean camina por la puerta de [//] del tren,caminar,por,la puerta,motion_path_ground
126,1,el perro está corriendo con las (1)ovejas,correr,,,motion
127,1,Mr Bean corre en la calle ,correr,en,la calle,motion_path_ground
127,1,él corre en el túnel,correr,en,el t√∫nel,motion_path_ground
127,1,él perro corre a las (1)ovejas ,correr,a,las ovejas,motion_path_ground
127,1,&um señor Bean camine a un carretera,caminar,a,un carretera,motion_path_ground
128,1,&um y señor Bean &um camin(a) [//] camine [/] &um camine a las escaleras ,caminar,a,las escaleras,motion_path_ground
128,1,<señor Bean corre para su coche> [/] <señor Bean corre para su coche> [/] señor Bean corre para su coche,correr,para,su coche,motion_path_ground
128,1,señor Bean corre en el túnel porque no gusta la música,correr,en,el t√∫nel,motion_path_ground
129,1,señor Bean está tratando de escapar de su coche (1)verde ,escapar,de,su coche,motion_path_ground
129,1,porque no quiere caer al [//] a la piscina,caer,a,la piscina,motion_path_ground
129,1,no quiero entrar en el agua ,entrar,en,el agua,motion_path_ground
129,1,entra [//] entró el tren a tiempo,entrar,,el tren,motion_ground
129,1,me parece que no [/] no puedo entrar en el tren,entrar,en,el tren,motion_path_ground
129,1,está caminando por la carretera,caminar,por,la carretera,motion_path_ground
129,1,y un otro hombre está caminando por un túnel,caminar,por,un t√∫nel,motion_path_ground
129,1,señor Bean está caminando por &um las escaleras,caminar,por,las escaleras,motion_path_ground
130,1,señor Bean está saltando en la cama ,saltar,en,la cama,motion_path_ground
130,1,Mr Bean corre a trampolín,correr,a,trampol√≠n,motion_path_ground
130,1,&um Mr Bean fue &um del (1)ventanilla,ir,del,ventanilla,motion_path_ground
130,1,fue en el (1)ventanilla,ir,en,el ventanilla,motion_path_ground
130,1,Mr Bean pasea en un pie en la calle,pasear,en,un pie,motion_path_ground
130,1,y Mr Bean corre # en el centro comercial ,correr,en,el centro comercial,motion_path_ground
130,1,&um Mr Bean camina a un carretera,caminar,a,un carretera,motion_path_ground
130,1,&um Mr Bean pasea en [//] dentre [: dentro] [*] de un túnel ,pasear,dentro de,un t√∫nel,motion_path_ground
130,1,y Mr Bean # descende [: desciende] [*] los [//] o las escaleras ,descender,,las escaleras,motion_ground
130,1,Mr Bean &um corre,correr,,,motion
130,1,Mr Bean &um aborda el tren,abordar,,el tren,motion_ground
130,1,hay un tren llegando,llegar,,,motion
132,1,&um Mr Bean camina a un carretera,caminar,a,un carretera,motion_path_ground
132,1,&um Mr Bean sale por [/] &um por la (1)ventana de su coche,salir,por,la ventana,motion_path_ground
132,1,&um Mr Bean camina por la carretera ,caminar,por,la carretera,motion_path_ground
132,1,&um el coche(cito) [/] cochecito sube por el cielo,subir,por,el cielo,motion_path_ground
132,1,&um y despu√©s se cae en el agua en la piscina,caer,en,la piscina,motion_path_ground
132,1,y [/] y (1)va hacia la barrera,ir,hacia,la barrera,motion_path_ground
132,1,&um Mr Bean está corriendo afuera [//] para afuera de su habitación,correr,para afuera de,su habitaci√≥n,motion_path_ground
132,1,&um el perro corre hacia las (1)ovejas en el (2)video,correr,hacia,las ovejas,motion_path_ground
132,1,&um Mr Bean entra por la puerta en el tren,entrar,por,la puerta,motion_path_ground
132,1,&um Mr Bean <se sienta> [/] se sienta en la cama,sentar,en,la cama,motion_path_ground
132,1,y &um está saltando encima de la cama,saltar,encima de ,la cama,motion_path_ground
132,1,&um Mr Bean salta por <el andén> [//] <la andén> [//] el andén,saltar,por,el and√©n,motion_path_ground
135,1,&um Mr Bean está caminando por el túnel ,caminar,por,el t√∫nel,motion_path_ground
135,1,y &um corre &um rápidamente,correr,,,motion
135,1,con solamente &um una pie &um Mr Bean camina por la calle &um muy rápido,caminar,por,la calle,motion_path_ground
135,1,y solamente Mr Bean entra el centro comercial,entrar,,el centro comercial,motion_ground
135,1,&um y Mr Bean camina muy rápido,caminar,,,motion
135,1,&um y corre por su habitación &um rápidamente,correr,por,su habitaci√≥n,motion_path_ground
135,1,Mr Bean corre por una carretera [/] carretera,correr,por,una carretera,motion_path_ground
135,1,&um y xxx de los globos y cochecito &um (1)viaje [//] (2)viaja por el cielo,viajar,por,el cielo,motion_path_ground
135,1,pero &um Mr Bean cae en la agua del [//] de la piscina sí,caer,en,el agua,motion_path_ground
135,1,pero llega &um delante de una &um barrera,llegar,delante de,una barrera,motion_path_ground
135,1,Mr Bean &um camina por el túnel &um después de &um (1)ve un hombre,caminar,por,el t√∫nel,motion_path_ground
135,1,entonces en silencio Mr Bean irse &um &um,ir,,,motion
135,1,Mr Bean sale [//] salirse de la habitaci√≥n,salir,de,la habitaci√≥n,motion_path_ground
135,1,el perro corre con muchas (1)ovejas &um cerca de una fiesta,correr,cerca de,una fiesta,motion_path_ground
135,1,&um Mr Bean salta &um sobre la cama &um muchas (1)veces,saltar,sobre,la cama,motion_path_ground
136,1,y corre al lado <del agua> [//] de la agua,correr,al lado de,el agua,motion_path_ground
136,1,señor Bean usa la (1)ventana para llegar el coche,llegar,,el coche,motion_ground
136,1,señor Bean camina en el túnel,caminar,en,el t√∫nel,motion_path_ground
136,1,&um señor Bean camina en las escaleras,caminar,en,las escaleras,motion_path_ground
136,1,&um señor Bean &um (1)va en el tren,ir,en,el tren,motion_path_ground
137,1,señor Bean corre para el trampolín,correr,para,el trampol√≠n,motion_path_ground
137,1,y saque [: sale] [*] por la (1)ventana,salir,por,la ventana,motion_path_ground
137,1,él camina para la casa ,caminar,para,la casa,motion_path_ground
137,1,él camine [//] camina por la calle con uno pie en un aire,caminar,por,la calle,motion_path_ground
137,1,se√±or Bean camina por la car(retera) [/] carretera solo,caminar,por,la carretera,motion_path_ground
137,1,cayó en el agua de la piscina,caer,en,el agua,motion_path_ground
138,1,está tratando de salir del coche por la (1)ventana ,salir,del,coche,motion_path_ground
138,1,está caminando afuera en la carretera disfrutando de la (1)vista,caminar,afuera en,la carretera,motion_path_ground
138,1,&um un cociito [: cochecito] [*] está (1)volando en el cielo en globos,volar,en,el cielo,motion_path_ground
138,1,mientras caminar [//] camina por el túnel ,caminar,por,el t√∫nel,motion_path_ground
138,1,él sube al tren,subir,al,tren,motion_path_ground
138,1,está corriendo para el trampolín,correr,para,el trampol√≠n,motion_path_ground
138,1,está corriendo al centro comercial,correr,al,centro comercial,motion_path_ground
140,1,está bajando escaleras,bajar,,las escaleras,motion_ground
140,1,Mr Bean sale a la coche por [/] por la (1)ventana en la calle,salir,a,la coche,motion_path_ground
140,1,Mr Bean &um corre en [/] en un pie [/] pie en [/] en la calle con muchas personas otras,correr,en,la calle,motion_path_ground
140,1,Mr Bean &um camina en la carretera cerca de una montaña,caminar,en,la carretera,motion_path_ground
140,1,Mr Bean &um camina en [/] en un saco cerca de el barrera ,caminar,en,un saco,motion_path_ground
140,1,Mr Bean &um camina &um <en la> [/] en la escalera ,caminar,en,la escalera,motion_path_ground
140,1,el perro &um está corriendo de las (1)ovejas,correr,de,las ovejas,motion_path_ground
140,1,en este (1)video Mr Bean &um entra &um al tren,entrar,al,tren,motion_path_ground
141,1,cuando entre [: entra] [*] la piscina,entrar,,la piscina,motion_ground
141,1,&um entonces Mr Bean corre a la trampolín ,correr,a,la trampol√≠n,motion_path_ground
141,1,y entre [: entra] [*] la piscina con el trampolín,entrar,,la piscina,motion_ground
141,1,y él quiere salir un coche,salir,,un coche,motion_ground
141,1,&um √©l use [//] usa la (1)ventana de la coche escapar &um,escapar,,,motion
141,1,y él brinca,brincar,,,motion
141,1,y &um baila,bailar,,,motion
141,1,y corre en su cuarto ,correr,en,su cuarto,motion_path_ground
141,1,y él camina &um en el piso,caminar,en,el piso,motion_path_ground
141,1,Mr Bean &um camina por un túnel ,caminar,por,un t√∫nel,motion_path_ground
141,1,Mr Bean &um camina debajo las escaleras,caminar,debajo,las escaleras,motion_path_ground
141,1,primero Mr Bean &um senta [: sienta] [*] en la cama,sentar,en,la cama,motion_path_ground
143,1,&um y entonces está corriendo a la trampolín,correr,a,la trampol√≠n,motion_path_ground
143,1,cuando se cayó en el agua,caer,en,el agua,motion_path_ground
143,1,y corre afuera de la puerta,correr, afuera de,la puerta,motion_path_ground
143,1,&um cuando [/] cuando se salió,salir,,,motion
145,1,él tiene que usar la (1)ventana de su coche para salir,salir,,,motion
145,1,el se√±or Bean se muve [: (1)mueve] [*] &um por el calle,mover,por,el calle,motion_path_ground
145,1,el cochecito en este (1)video (2)va arriba al cielo,ir,arriba al,cielo,motion_path_ground
145,1,entonces √©l se cae en la piscina con el agua,caer,en,la piscina,motion_path_ground
145,1,se muve [: se (1)mueve] [*] para <un barrera> [//] la barrera,mover,para,la barrera,motion_path_ground
145,1,el señor Bean (1)va por un túnel ,ir,por,un t√∫nel,motion_path_ground
145,1,él salta en la cama ,saltar,en,la cama,motion_path_ground
146,1,&um pero tiene que bajar el trampolín,bajar,,el trampol√≠n,motion_ground
146,1,él está caminando,caminar,,,motion
146,1,&um y está volando en el cielo,volar,en,el cielo,motion_path_ground
146,1,y señor Bean &um caminando por un túnel ,caminar,por,un t√∫nel,motion_path_ground
146,1,&um  y estaba corriendo,correr,,,motion
147,1,&um Mr Bean sale &um sale su coche y pero por la venta [: (1)ventana] [*],salir,,su coche,motion_ground
147,1,&um Mr Bean &um es &um camina [/] camina en la calle,caminar,en ,la calle,motion_path_ground
147,1,&um Mr Bean entra en el centro comercial,entrar,en,el centro comercial,motion_path_ground
147,1,Mr Bean camina [/] camina en un carretera (1)vacío,caminar,en,un carretera,motion_path_ground
147,1,&um Mr Bean &um sub(e) [/] sube en el cielo con el cochecito,subir,en,el cielo,motion_path_ground
147,1,<y le> [//] y Mr Bean sub(e) [/] sube con los globos,subir,,,motion
147,1,Mr Bean &um se cae en la piscina,caer,en,la piscina,motion_path_ground
147,1,y él le cae de el trampolín,caer,de,el trampol√≠n,motion_path_ground
148,1,&um Mr Bean &um sale &um &um el coche,salir,,el coche,motion_ground
148,1,y &um camina a su casa,caminar,a,su casa,motion_path_ground
148,1,&um señor Bean &um sale su habitación,salir,,su habitaci√≥n,motion_ground
148,1,el perro &um &um &um corre &um cerca de las (1)ovejas,correr,cerca de,las ovejas,motion_path_ground
148,1,&um señor Bean &um corre &um del [/] del tren,correr,del,tren,motion_path_ground
149,1,&um Mr Bean está saliendo su carro [//] su coche,salir,,su coche,motion_ground
149,1,y corriendo &um cerca de su cama ,correr,cerca de,su cama,motion_path_ground
149,1,pero solamente caminando ,caminar,,,motion
149,1,y cayó en el agua en la piscina,caer,en,el agua,motion_path_ground
149,1,está saliendo a su habitación,salir,a,su habitaci√≥n,motion_path_ground
149,1,&um en este (1)video Mr Bean &um (2)va a llegar un tren ,llegar,,un tren,motion_ground
149,1,él está llegando a su trabajo,llegar,a,su trabajo,motion_path_ground
149,1,Mr Bean llega [//] llegue el tren,llegar,,el tren,motion_ground
149,1,&um Mr Bean está corriendo &um en su cuarto ,correr,en,su cuarto,motion_path_ground
151,1,y cae <en el> [//] en la agua,caer,en,el agua,motion_path_ground
151,1,mientras que camina entre un túnel ,caminar,entre,un t√∫nel,motion_path_ground
151,1,todavía en su traje Mr Bean camina debajo las escaleras grandes,caminar,debajo,las escaleras,motion_path_ground
151,1,y empieza a brincar ,brincar,,,motion
153,1,señor Bean (1)va al trampolín &um escalera,ir,al,trampol√≠n,motion_path_ground
153,1,señor Bean baila en la habitación ,bailar,en,la habitaci√≥n,motion_path_ground
153,1,señor Bean camina en una carretera ,caminar,en,una carretera,motion_path_ground
153,1,el cochecito vole [: (1)vuela] [*] en el cielo con los globos,volar,en,el cielo,motion_path_ground
153,1,éll naga [: nada] [*]  en la piscina,nadar,en,la piscina,motion_path_ground
153,1,señor Bean entra el túnel,entrar,,el t√∫nel,motion_ground
153,1,señor Bean baja las escaleras ,bajar,,las escaleras,motion_ground
153,1,&um señor Bean (1)va sobre el tren,ir,sobre,el tren,motion_path_ground
153,1,señor Bean baila sobre <el andén> [//] la andén xxx ,bailar,sobre,la and√©n,motion_path_ground
154,1,y Mr Bean es el primer a entrar al comer(cial) [//] centro comercial ,entrar,al,centro comercial,motion_path_ground
154,1,y &um y cae <en la agua> [//] en el agua,caer,en,el agua,motion_path_ground
154,1,y está (1)moviendo &um cerca de una barrera roja ,mover,cerca de,una barrera,motion_path_ground
154,1,que alguien puede entrar al otro lado del barrera,entrar,al otro lado del,barrera,motion_path_ground
154,1,y &um empieza caminar por el túnel,caminar,por,el t√∫nel,motion_path_ground
154,1,en este (1)video Mr Bean está saliendo de su habitación,salir,de,su habitaci√≥n,motion_path_ground
154,1,y al fin cuando sale su habitación,salir,,su habitaci√≥n,motion_ground
154,1,&um está corriendo muy rápido,correr,,,motion
120,2,&um Mr Bean entra en un fotomatón &um,entrar,en,un fotomat√≥n,motion_path_ground
120,2,&um señor Bean &um trepa las escaleras,trepar,,las escaleras,motion_ground
120,2,&um Mr Bean entra su habitación,entrar,,su habitaci√≥n,motion_ground
120,2,&um el hombre caseo [: se cae] [*] por el suelo um y es [//] están muy mal um,caer,por,el suelo,motion_path_ground
121,2,&um señor Bean camina en el andén,caminar,en,el and√©n,motion_path_ground
121,2,&um se√±or Bean entrena [: entra] [*] a un fotomatón,entrar,a,un fotomat√≥n,motion_path_ground
121,2,&um señor Bean &um camina <a su> [//] a la [//] las escaleras,caminar,a,las escaleras,motion_path_ground
121,2,&um señor Bean sale un coche &um él cierra la puerta de la coche,salir,,un coche,motion_ground
121,2,&um el hombre &um camina cerca señor Bean,caminar,cerca,se√±or Bean,motion_path_ground
125,2,Mr Bean corre al tobogán,correr,al,tobog√°n,motion_path_ground
125,2,Mr Bean camina por la puerta en la habitación y,caminar,por,la puerta,motion_path_ground
127,2,señor Bean baila en la calle,bailar,en,la calle,motion_path_ground
